STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1983,,86.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1984,,86.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1985,,81.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1986,,79.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1987,,77,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1988,,80.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1989,,82,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1990,,81.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1992,,82.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1993,,81.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1996,,80.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,81.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,85.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,92.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,80.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,84.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,91.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2006,,70.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2007,,82.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2008,,81.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,86.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2010,,90.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,87.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,85.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2013,,85.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2014,,85.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,79.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2016,,79.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2017,,77.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2018,,76.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,NLD,Netherlands,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2019,,75.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1994,,47.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1995,,51.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1996,,47.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1997,,43.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1998,,37.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1999,,39.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,42.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,38.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,38.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,41.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,40.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,38.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2006,,37,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2007,,36.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2008,,38.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,38,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2010,,36,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,36.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,36.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2013,,36.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2014,,34.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,34.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2016,,32.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2017,,33.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2018,,34.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CZE,Czechia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2019,,34.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,14.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2010,,15.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2011,,16.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2012,,16.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2013,,17.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2014,,18.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,19,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2016,,19.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2017,,17.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,CHL,Chile,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2018,,20.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,EST,Estonia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2009,,32.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,EST,Estonia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2015,,18.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,EST,Estonia,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2021,,19.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1960,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1961,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1962,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1963,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1964,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1965,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1966,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1967,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1968,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1969,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1970,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1971,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1972,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1973,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1974,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1975,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1976,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1977,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1978,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1979,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1980,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1981,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1982,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1983,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1984,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1985,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1986,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1987,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1988,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1989,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1990,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1991,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1992,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1993,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1994,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1995,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1996,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1997,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1998,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,1999,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2000,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2001,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2002,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2003,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2004,,100,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_CBC(1.0),Collective bargaining coverage,I,ITA,Italy,ERB,Employees with the right to bargain,PT_SAL,Percentage of employees,2005,,100,,A,Normal value,0,Units,1,One
